,,,,,,,
en dégré , en radians , COSINUS , SINUS , TANGENTE , ARCcos , ARCsin , ARCtan
0, 0.000000 , 1.000000 , 0.000000 , 0.000000 , 1.570796 , 0.000000 , 0.0000001 
0, 0.000000 , 1.000000 , 0.000000 , 0.000000 , 1.570796 , 0.000000 , 0.000000
1, 0.017453 , 0.999848 , 0.017452 , 0.017455 , 1.553342 , 0.017454 , 0.017452
2, 0.034907 , 0.999391 , 0.034899 , 0.034921 , 1.535883 , 0.034914 , 0.034892
3, 0.052360 , 0.998630 , 0.052336 , 0.052408 , 1.518412 , 0.052384 , 0.052312
4, 0.069813 , 0.997564 , 0.069756 , 0.069927 , 1.500926 , 0.069870 , 0.069700
5, 0.087266 , 0.996195 , 0.087156 , 0.087489 , 1.483419 , 0.087378 , 0.087046
6, 0.104720 , 0.994522 , 0.104528 , 0.105104 , 1.465884 , 0.104912 , 0.104339
7, 0.122173 , 0.992546 , 0.121869 , 0.122785 , 1.448317 , 0.122479 , 0.121571
8, 0.139626 , 0.990268 , 0.139173 , 0.140541 , 1.430712 , 0.140084 , 0.138729
9, 0.157080 , 0.987688 , 0.156434 , 0.158384 , 1.413063 , 0.157733 , 0.155806
10, 0.174533 , 0.984808 , 0.173648 , 0.176327 , 1.395365 , 0.175431 , 0.172792
11, 0.191986 , 0.981627 , 0.190809 , 0.194380 , 1.377611 , 0.193186 , 0.189678
12, 0.209440 , 0.978148 , 0.207912 , 0.212557 , 1.359795 , 0.211002 , 0.206455
13, 0.226893 , 0.974370 , 0.224951 , 0.230868 , 1.341910 , 0.228886 , 0.223115
14, 0.244346 , 0.970296 , 0.241922 , 0.249328 , 1.323951 , 0.246845 , 0.239650
15, 0.261799 , 0.965926 , 0.258819 , 0.267949 , 1.305910 , 0.264886 , 0.256053
16, 0.279253 , 0.961262 , 0.275637 , 0.286745 , 1.287781 , 0.283016 , 0.272316
17, 0.296706 , 0.956305 , 0.292372 , 0.305731 , 1.269555 , 0.301241 , 0.288432
18, 0.314159 , 0.951057 , 0.309017 , 0.324920 , 1.251225 , 0.319571 , 0.304396
19, 0.331613 , 0.945519 , 0.325568 , 0.344328 , 1.232784 , 0.338012 , 0.320201
